Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,Reti,Assist,G+A,Amm.,Esp.,xG,npxG,xAG
420,Triantafyllos Pasaridīs,GRE,Dif,Salernitana,27,1996,7,4,362,0,0,0,3,0,,,
421,Patric,ESP,Dif,Lazio,31,1993,19,18,"1,518",2,0,2,4,0,1.4,1.4,0.1
422,Rui Patrício,POR,Por,Roma,36,1988,23,23,"2,070",0,0,0,1,0,0.0,0.0,0.0
423,Benjamin Pavard,FRA,Dif,Inter,28,1996,22,20,"1,582",0,2,2,6,0,0.7,0.7,1.2
424,Leonardo Pavoletti,ITA,Att,Cagliari,35,1988,19,5,628,4,1,5,4,0,2.6,2.6,0.3
425,Martín Payero,ARG,Cen,Udinese,25,1998,27,19,"1,616",2,2,4,6,1,1.5,1.5,0.9
426,Marcus Pedersen,NOR,Dif,Sassuolo,23,2000,26,16,"1,581",0,2,2,4,0,0.1,0.1,1.0
427,Pedro,ESP,Att,Lazio,36,1987,32,5,815,1,1,2,4,0,1.5,1.5,2.1
428,Pietro Pellegri,ITA,Att,Torino,23,2001,22,5,621,1,0,1,3,0,0.8,0.8,0.0
429,Lorenzo Pellegrini,ITA,Cen,Roma,27,1996,27,19,"1,776",8,3,11,7,0,4.6,3.9,2.3
430,Luca Pellegrini,ITA,Dif,Lazio,25,1999,17,6,651,1,0,1,7,1,0.2,0.2,0.0
431,Marco Pellegrino,,Dif,Salernitana,,,9,5,529,0,0,0,1,0,0.0,0.0,0.0
433,Pepín,EQG,Cen,Monza,27,1996,10,2,241,0,0,0,2,0,0.2,0.2,0.1
434,Pedro Pereira,POR,Dif,Monza,26,1998,21,8,756,0,2,2,3,0,0.2,0.2,0.8
435,Roberto Pereyra,ARG,Att,Udinese,33,1991,27,22,"1,858",4,3,7,6,0,3.5,2.7,1.9
436,Nehuén Pérez,ARG,Dif,Udinese,23,2000,34,34,"3,058",0,0,0,7,1,1.3,1.3,0.2
437,Mattia Perin,ITA,Por,Juventus,31,1992,2,2,180,0,0,0,0,0,0.0,0.0,0.0
438,Samuele Perisan,ITA,Por,Empoli,26,1997,1,1,90,0,0,0,0,0,0.0,0.0,0.0
439,Matteo Pessina,ITA,Cen,Monza,27,1997,35,35,"3,042",6,3,9,5,1,6.2,2.3,1.1
440,Andrea Petagna,ITA,Att,Cagliari,28,1995,18,13,995,1,1,2,2,0,1.6,1.6,1.0
441,Giuseppe Pezzella,ITA,Dif,Empoli,26,1997,18,13,995,0,0,0,4,0,0.2,0.2,0.5
442,Roberto Piccoli,ITA,Att,Empoli,23,2001,2,0,39,0,0,0,0,0,0.1,0.1,0.0
444,Santiago Pierotti,ARG,Cen,Lecce,23,2001,9,0,127,0,2,2,0,0,0.4,0.4,1.0
445,Niccolò Pierozzi,ITA,Dif,Salernitana,22,2001,10,9,691,1,0,1,5,0,0.1,0.1,0.0
446,Andrea Pinamonti,ITA,Att,Sassuolo,24,1999,36,36,"2,978",11,1,12,3,0,8.7,6.4,1.9
447,Lorenzo Pirola,ITA,Dif,Salernitana,22,2002,26,23,"1,942",1,0,1,4,0,0.9,0.9,0.0
448,Niccolò Pisilli,ITA,Cen,Roma,19,2004,1,0,10,0,0,0,0,0,0.0,0.0,0.0
449,Tommaso Pobega,ITA,Cen,Milan,24,1999,10,3,306,0,0,0,0,0,0.2,0.2,0.2
450,Paul Pogba,FRA,Cen,Juventus,31,1993,2,0,54,0,0,0,0,0,0.0,0.0,0.0
451,Matteo Politano,ITA,Att,Napoli,30,1993,35,29,"2,240",8,6,14,2,1,7.0,4.6,6.4
452,Marin Pongračić,CRO,Dif,Lecce,26,1997,34,34,"3,039",0,0,0,10,1,1.2,1.2,0.3
453,Stefan Posch,AUT,Dif,Bologna,27,1997,30,28,"2,319",1,2,3,7,0,1.2,1.2,2.1
454,Matteo Prati,ITA,Cen,Cagliari,20,2003,24,18,"1,858",0,0,0,4,0,1.9,1.9,0.4
455,Ivan Provedel,ITA,Por,Lazio,30,1994,28,28,"2,519",0,0,0,0,0,0.0,0.0,0.0
456,Christian Pulisic,USA,Att,Milan,25,1998,34,30,"2,422",12,7,19,2,0,7.4,7.4,4.4
457,George Pușcaș,ROU,Att,Genoa,28,1996,8,1,191,0,0,0,0,0,2.1,2.1,0.1
458,Domingos Quina,POR,Cen,Udinese,24,1999,2,0,13,0,0,0,0,0,0.0,0.0,0.0
459,Adrien Rabiot,FRA,Cen,Juventus,29,1995,30,29,"2,581",5,3,8,8,0,3.5,3.4,4.1
460,Uroš Račić,SRB,Cen,Sassuolo,26,1998,20,7,756,1,1,2,1,0,0.8,0.8,0.3
461,Nemanja Radonjić,SRB,Cen,Torino,28,1996,10,4,374,3,0,3,1,0,1.7,1.7,0.2
462,Boris Radunović,SRB,Por,Cagliari,27,1996,7,7,630,0,0,0,0,0,0.0,0.0,0.0
463,Hamza Rafia,TUN,Cen,Lecce,25,1999,26,17,"1,182",1,0,1,4,0,0.8,0.8,0.7
464,Ylber Ramadani,ALB,Cen,Lecce,28,1996,32,32,"2,798",1,0,1,13,0,1.0,1.0,0.5
465,Luca Ranieri,ITA,Dif,Fiorentina,25,1999,24,21,"1,885",2,1,3,13,0,0.9,0.9,0.4
466,Filippo Ranocchia,ITA,Cen,Empoli,23,2001,9,5,476,0,0,0,3,0,0.2,0.2,0.5
